Country,Current_2024,Projected_2030,Lower_Bound,Upper_Bound,Improvement,Gap_to_SDG,Will_Achieve_SDG
UAE,96.3,107.30880634460598,92.89035163845006,122.94239785555541,11.008806344605986,-12.308806344605983,Yes
Bahrain,97.5,98.50091305574772,98.21688165624315,98.79757229183059,1.0009130557477164,-3.5009130557477164,Yes
Israel,97.8,98.10006774682026,98.10006774682026,98.11530780014205,0.30006774682026105,-3.100067746820258,Yes
Morocco,72.1,85.40149360661447,81.90710873392649,88.69917637008903,13.301493606614471,9.598506393385534,No
Sudan,57.0,54.082925913195325,53.25693176741711,54.95937289773024,-2.917074086804675,40.917074086804675,No
